id,split,time_seconds,status,base_width_raw_px,base_width_mm,perpendicular_height_raw_px,perpendicular_height_mm,upper_side_length_raw_px,upper_side_length_mm,lower_side_length_raw_px,lower_side_length_mm,triangle_area_raw_px2,triangle_area_mm2,triangle_perimeter_raw_px,triangle_perimeter_mm,apex_angle_deg,model,model_label,A_x_roi_px,A_y_roi_px,B_x_roi_px,B_y_roi_px,C_x_roi_px,C_y_roi_px,A_x_raw_px,A_y_raw_px,B_x_raw_px,B_y_raw_px,C_x_raw_px,C_y_raw_px,measurement_approved
V02_f0000026,train,0.8666666666666667,unvalidated_triangle,144.89608758754446,,403.6503262897493,,423.0307621722438,,404.065858349358,,29243.676516410203,,971.9927081091463,,20.008941987338567,full,TopoFiberDINO Coordinate (ours),180.3507649898529,129.30833917856216,592.768657207489,120.97171521186829,553.226330280304,256.6154463291168,107.55508163993356,762.8733351409064,530.5678536608658,758.971995474034,488.49013128384655,897.6238670003132,False
V02_f0000027,train,0.9,unvalidated_triangle,141.22578388616998,,400.3879883762736,,410.9328696705454,,403.34260019031194,,28272.553758522976,,955.5012537470274,,19.94717803829402,full,TopoFiberDINO Coordinate (ours),169.0254682302475,133.68349432945251,574.0986371040344,124.32305938005447,545.8984923362732,260.6868153810501,101.62906172695236,749.9708139221704,512.4930653375695,742.447921345225,483.2296642373221,880.6086081932182,False
V02_f0000028,train,0.9333333333333333,unvalidated_triangle,116.74797708596523,,363.8783718505309,,363.9658953220898,,384.6620570330045,,21241.03190944206,,865.3759294410595,,17.66403001299916,full,TopoFiberDINO Coordinate (ours),171.1890149116516,138.22207313776016,531.0541105270386,141.9619135260582,532.3861169815063,257.39304065704346,105.35234441098395,729.4572602989223,469.2776933398113,734.8898807202048,470.095403945906,851.6349941212793,False
V02_f0000029,train,0.9666666666666667,unvalidated_triangle,140.5570333689427,,333.90381460669806,,339.87875199303784,,391.29314498608886,,23466.26480584546,,871.7289303480694,,20.664598457620716,full,TopoFiberDINO Coordinate (ours),172.2081971168518,123.68424475193024,506.7490482330322,117.06714707612991,535.2648210525513,252.47370100021362,106.5272244044079,705.8651478087745,446.36233081925764,700.4184511628555,474.8113220845278,838.0663153869932,False
V02_f0000030,train,1.0,unvalidated_triangle,123.74520409631398,,372.86757057866305,,384.70070426402054,,373.99863538387564,,23070.28681107671,,882.4445437442101,,18.704862540643308,full,TopoFiberDINO Coordinate (ours),175.38898587226868,129.42540633678436,556.0797500610352,124.78558778762817,527.3882389068604,243.84160590171814,112.53103412160971,700.2901369565466,497.2090456167569,696.1117002425603,468.0580308710633,816.3743040566087,False
V02_f0000031,train,1.0333333333333334,unvalidated_triangle,84.14618163076896,,364.67303228322925,,365.1893532314263,,379.09208747689917,,15342.92160517394,,828.4276223390945,,12.806188805237445,full,TopoFiberDINO Coordinate (ours),180.93697249889374,136.1663368344307,540.7443523406982,152.59282195568085,541.3718032836914,235.58288180828094,116.75027237945682,702.0477091523285,481.5524196973129,718.8601160552274,482.1522508562277,803.0041597280814,False
V02_f0000032,train,1.0666666666666667,unvalidated_triangle,98.59679950786773,,330.06337282232766,,367.1136595513213,,335.8586049322347,,16271.596097526819,,801.5690639914237,,15.303901672750836,full,TopoFiberDINO Coordinate (ours),198.2486128807068,159.5152884721756,559.9379825592041,150.75884783267975,519.5253753662109,239.12472343444824,128.62392206578778,719.8055669022945,495.65540047742445,712.0381423528233,454.37585905855235,801.5776773831232,False
V02_f0000033,train,1.1,unvalidated_triangle,83.69091254126239,,381.89094018684455,,383.9276070579392,,401.26678103261963,,15980.400637738838,,868.8853006318212,,11.973563714434581,full,TopoFiberDINO Coordinate (ours),179.49738264083862,162.93229413032532,560.8664417266846,157.32497453689575,570.6338882446289,239.8914169073105,111.19981111769522,712.9415411602135,495.0829068829075,707.0954957488038,504.9584896650595,790.2017031385175,False
V02_f0000034,train,1.1333333333333333,unvalidated_triangle,79.79952427786797,,353.136281410807,,369.2821998179268,,354.2605379721366,,14090.053630918854,,803.3422620679314,,12.439455005494285,full,TopoFiberDINO Coordinate (ours),182.41907000541687,159.69607770442963,550.8076500892639,168.33285415172577,525.7411551475525,243.91285157203674,113.6968394968682,698.8870315580646,482.87356232918853,707.7125865635767,457.71824741738453,783.4435195213979,False
V02_f0000035,train,1.1666666666666667,unvalidated_triangle,101.09031774031314,,289.7567935121531,,301.2185288029368,,342.91646917911856,,14645.80316177893,,745.2253157223686,,16.47389200543521,full,TopoFiberDINO Coordinate (ours),184.38945472240448,155.7130635380745,485.72638750076294,152.75235563516617,514.3139576911926,249.76279878616333,112.92991776558208,683.5860934355384,414.1450322250241,682.1518984031493,442.22862113092117,779.2629913585993,False
V02_f0000036,train,1.2,unvalidated_triangle,92.88717824954146,,319.62451397802425,,320.5417446854932,,340.40664666569006,,14844.509601399897,,753.8355696007247,,15.788695910959685,full,TopoFiberDINO Coordinate (ours),181.9520115852356,158.56927704811096,501.363844871521,155.30616515874863,509.3039131164551,247.52957248687744,112.16008118792134,680.4979314239656,432.6888808418748,677.6171887392265,440.54293128023374,770.1717227982007,False
V02_f0000037,train,1.2333333333333334,unvalidated_triangle,82.44588339062489,,381.94914467324026,,391.5130963599946,,381.9657536218254,,15745.067321439441,,855.924733372445,,12.155965225485604,full,TopoFiberDINO Coordinate (ours),176.03896737098694,174.4478771686554,567.1074056625366,167.43059104681015,550.4578256607056,248.09574818611145,108.77206450112094,687.6536118015111,500.22477678633135,680.7776634347238,483.52838367829844,761.5152268438492,False
V02_f0000038,train,1.2666666666666668,unvalidated_triangle,97.7889491078945,,344.0506179825328,,347.6894814408033,,347.3302164007107,,16822.174186216776,,792.8086469494085,,16.176547074342523,full,TopoFiberDINO Coordinate (ours),164.85073149204254,177.5205807685852,512.6203608512878,168.31388354301453,501.068594455719,265.47534477710724,101.20417657513515,682.9431934017591,448.7781070134027,673.9800251968745,437.16650638208245,771.0771379160749,False
V02_f0000039,train,1.3,unvalidated_triangle,106.70968529373957,,393.0734003673172,,414.58606397560214,,393.8742439899117,,20972.369425268258,,915.1699932592534,,14.88413315301815,full,TopoFiberDINO Coordinate (ours),158.1263244152069,172.60450690984726,572.1210551261902,163.28185713291168,540.5170941352844,265.07303857803345,99.02444491813054,674.0584760762254,513.4902375554223,664.0729277025227,482.00949647524527,766.0333115608223,False
V02_f0000040,train,1.3333333333333335,unvalidated_triangle,99.41969531107434,,381.91008314363046,,383.1400870162704,,388.047693479599,,18984.692051183403,,870.6074758069437,,14.79624144069421,full,TopoFiberDINO Coordinate (ours),152.27107107639313,175.25777280330658,534.0283942222595,170.4885038137436,527.3307108879089,269.3304578065872,94.06818605127215,672.9248098149649,477.189135304052,669.0953813348729,470.22002865705156,768.2705161635666,False
V02_f0000041,train,1.3666666666666667,unvalidated_triangle,99.71146628739221,,342.68850662699026,,428.26391263051636,,377.00072786049014,,17084.98673780696,,904.9761067783987,,12.218284066218665,full,TopoFiberDINO Coordinate (ours),157.007657289505,186.37275499105453,585.4251980781555,187.106578707695,525.4641795158386,266.81991732120514,104.9333598004999,677.0809523717345,533.1913532176683,679.3326041874292,472.96983675819115,758.804268725821,False
V02_f0000042,train,1.4000000000000001,unvalidated_triangle,102.36809886484312,,341.8645891136778,,342.91033143837984,,350.1256637868571,,17498.01402838897,,795.4040940900801,,16.946802550834686,full,TopoFiberDINO Coordinate (ours),162.41756916046143,173.1614202260971,504.6597647666931,166.09438920021057,498.79000425338745,268.1160936355591,113.56601292888475,661.6700030678317,456.43231655569804,656.1751650842875,450.08010529171395,758.345988107595,False
V02_f0000043,train,1.4333333333333333,unvalidated_triangle,117.01542578885599,,318.419593916716,,318.9755549991921,,346.184286192715,,18630.002180839572,,782.1752669807631,,19.720110788529713,full,TopoFiberDINO Coordinate (ours),174.33115124702454,165.76812148094177,492.67295837402344,156.8504529595375,502.8307342529297,273.23677587509155,131.1895571349312,653.0629960636755,450.0420920476214,644.2049112371272,460.18910506703446,760.779556848131,False
V02_f0000044,train,1.4666666666666668,unvalidated_triangle,104.26584711132394,,344.4866286883435,,346.7606104173049,,350.4948421942144,,17959.09507935712,,801.5212997228433,,17.189381664648117,full,TopoFiberDINO Coordinate (ours),172.05420076847076,168.398315012455,518.1136107444763,157.49004781246185,509.47489500045776,261.23769867420197,133.606243427226,653.9209016927902,480.1818550166922,642.5954264988151,471.6500184797785,746.5116169560742,False
V02_f0000045,train,1.5,unvalidated_triangle,108.92641492320223,,365.90093206380027,,366.7915233601426,,375.28124062660737,,19928.13837338397,,850.9991789099522,,16.83089778806193,full,TopoFiberDINO Coordinate (ours),173.35695505142212,158.6550794839859,539.4592595100403,151.7944736480713,533.9199471473694,260.3941196203232,137.01740918573495,642.2733917136791,503.75244068569975,635.8361345668915,498.07462520941704,744.6144700911993,False
V02_f0000046,train,1.5333333333333334,unvalidated_triangle,124.37266946565181,,379.7809383374146,,381.1625710053743,,390.7531672782856,,23617.18455659718,,896.2884077493118,,18.48980249955744,full,TopoFiberDINO Coordinate (ours),170.14479875564575,152.4181853532791,551.6141939163208,137.82512819766998,545.7700681686401,262.2517902851105,135.92456450578385,632.1597352122242,516.8574031751921,618.9280324233321,510.58557342509994,743.1424641999905,False
V02_f0000047,train,1.5666666666666667,unvalidated_triangle,109.54394537084792,,333.661423672106,,355.79192239247476,,407.00144313863115,,18275.294383548262,,872.3373109019539,,14.62002453806608,full,TopoFiberDINO Coordinate (ours),170.59966564178467,160.70950055122375,527.1059560775757,154.91022336483002,566.8880081176758,257.2268304824829,140.5179238817513,638.8052819720625,496.27354081216004,633.7226584175321,535.7684277256797,735.8991228068405,False
V02_f0000048,train,1.6,unvalidated_triangle,103.30604836805931,,382.7035217156862,,394.05689045572524,,382.81888060160514,,19767.794262493655,,880.1818194253898,,15.19359140879712,full,TopoFiberDINO Coordinate (ours),177.33851730823517,167.85637086629868,571.7193603515625,155.12792837619781,550.3207397460938,256.33527874946594,149.79351002827318,644.6630829267513,543.66170891837,632.4698545311778,522.1588470527388,733.5132440280241,False
V02_f0000049,train,1.6333333333333333,unvalidated_triangle,118.8922995110939,,411.6795470455006,,420.89949526894515,,412.86600451554733,,24472.764004962566,,952.6577992955864,,16.3593158494839,full,TopoFiberDINO Coordinate (ours),163.5401165485382,148.8080740571022,584.4509768486023,139.87000823020935,562.171061038971,256.686625123024,136.81074028555585,624.979560209184,557.6209756790704,616.3117516217903,535.2723087347305,733.0846764324956,False
V02_f0000050,train,1.6666666666666667,unvalidated_triangle,132.39212062751108,,397.04515639627317,,414.312961690269,,397.29284462176923,,26282.8251200922,,943.9979269395493,,18.62343600322224,full,TopoFiberDINO Coordinate (ours),167.3353511095047,137.60831487178802,581.7238283157349,127.09139728546143,547.1142911911011,254.94888615608215,139.90566434299967,612.9228896570615,554.1022515893953,603.1036565912228,519.2965817859468,730.8386907587634,False
V02_f0000051,train,1.7000000000000002,unvalidated_triangle,114.33755085183861,,369.41847604884987,,369.50094934981985,,384.47220911610003,,21119.201895422048,,868.3107093177584,,17.296824577114833,full,TopoFiberDINO Coordinate (ours),170.08038640022278,142.79708844423294,539.4913530349731,148.12270230054855,535.4287433624268,262.37207865715027,142.54807095186163,619.5901027426473,512.0098042933685,624.9733328796028,507.9290380583101,739.2380381990127,False
V02_f0000052,train,1.7333333333333334,unvalidated_triangle,120.35788713809933,,356.40696698987017,,357.65947048822994,,386.78827712043216,,21448.194754099542,,864.8056347467614,,18.064221806115953,full,TopoFiberDINO Coordinate (ours),154.0570306777954,140.4413222670555,511.6615104675293,146.71291410923004,519.6207046508789,266.8073445558548,126.05703067779541,618.4413222670555,483.6615104675293,624.71291410923,491.6207046508789,744.8073445558548,False
V02_f0000053,train,1.7666666666666668,unvalidated_triangle,88.62605562804805,,381.8365225809693,,382.7814516792929,,398.9243951402432,,16920.332445540706,,870.3319024475841,,12.803855109172567,full,TopoFiberDINO Coordinate (ours),160.02842903137207,159.26711010932922,542.6362180709839,158.60985988378525,549.0086603164673,246.9663393497467,131.60725510835127,639.1608270882074,514.3874072542677,638.1633939546462,520.8412205790789,726.5541515583366,False
V02_f0000054,train,1.8,unvalidated_triangle,97.87081653417368,,380.0045406600263,,380.1300268584521,,394.9547613290101,,18595.67734054519,,872.9556047216358,,14.342681545480408,full,TopoFiberDINO Coordinate (ours),173.03101301193237,166.63304525613785,552.9882574081421,145.18137741088867,561.0229539871216,242.8335108757019,143.56615299690696,647.4237964995717,523.0953013318664,626.058804490496,531.1048572678053,723.6013272319904,False
V02_f0000055,train,1.8333333333333335,unvalidated_triangle,80.78598293424423,,390.43384604401,,392.36663763029384,,408.36582413810885,,15770.791011731366,,881.5184447026469,,11.352990341742377,full,TopoFiberDINO Coordinate (ours),166.7576676607132,154.3240293264389,560.0579953193665,161.62586343288422,566.5897536277771,242.354229927063,136.8275214820459,637.4454395403598,529.1244542418642,644.8410377271787,535.6165216167562,725.365742631027,False
V02_f0000056,train,1.8666666666666667,unvalidated_triangle,96.24661148174069,,331.8468919968723,,334.04333998695614,,358.06430731566115,,15969.569442723065,,788.3542587843581,,15.487585034388955,full,TopoFiberDINO Coordinate (ours),192.41625308990479,157.3027046918869,527.463641166687,149.54212069511414,540.7371425628662,245.1872707605362,161.04761482404243,645.4322269267067,494.9897035888914,637.2082168944363,508.35939175184967,732.5217083851082,False
V02_f0000057,train,1.9000000000000001,unvalidated_triangle,74.71955802455359,,320.39688957003773,,324.25955960110423,,343.7796005162162,,11969.956990557463,,742.758718141874,,12.401340059170725,full,TopoFiberDINO Coordinate (ours),206.5229094028473,163.7793396115303,531.8819332122803,165.9988228082657,542.9142951965332,240.15733981132507,174.120682825184,655.9443721690951,498.37369000847957,658.0057613346155,509.4028268755642,731.9068471950529,False
V02_f0000058,train,1.9333333333333333,unvalidated_triangle,81.36627484278537,,345.5360207082654,,348.272803019057,,347.5964643595868,,14057.489414515552,,777.2355422214292,,13.429169403393129,full,TopoFiberDINO Coordinate (ours),199.01527762413025,160.50254034996033,548.584234714508,163.1639986038208,537.7490401268005,244.113525390625,167.28149197167215,656.6603700690853,515.5473901186201,658.853429724122,504.8588564906202,739.5146095485877,False
