id,model,model_label,split,sequence,time_seconds,review_priority,threshold_stability_iou,model_disagreement,foreground_boundary_entropy,flow_warp_mae,raw_components,discarded_fraction,foreground_fraction,pseudo_iou,pseudo_dice,base_width_raw_px,height_raw_px,triangle_area_raw_px2,flags,original,overlay,entropy,disagreement,true_iou,true_dice,true_vertex_error_roi_px,vertices_roi,triangle_svg
V02_f0000058,directional,directional,train,V02,1.9333333333333333,18.441,0.9211886304909561,0.4739374060407271,0.3148922324180603,0.015232684090733528,1,0.0,0.07800023600676553,0.47853915662650603,0.6473134708428826,106.71245748741926,390.78032580588996,20850.56445224044,models_disagree,../../dataset/images/V02_f0000058.png,directional/overlays/V02_f0000058.jpg,quality/directional/entropy/V02_f0000058.jpg,quality/disagreement/V02_f0000058.jpg,,,,"[[157.3837172985077, 162.2267256975174], [557.9500365257263, 154.99683946371078], [538.0457425117493, 260.2439374923706]]",directional/triangles/V02_f0000058.svg
V01_f0000099,full,TopoFiberDINO Coordinate (ours),test,V01,3.3000000000000003,18.436,0.911088295687885,0.45129145308738977,0.34834370017051697,0.015765536576509476,1,0.0,0.0600606803950681,0.3765312701482914,0.5470725995316159,100.22121007677536,317.98435838239976,15934.388591285557,models_disagree,../../dataset/images/V01_f0000099.png,full/overlays/V01_f0000099.jpg,quality/full/entropy/V01_f0000099.jpg,quality/disagreement/V01_f0000099.jpg,,,,"[[176.60201805830002, 162.383571267128], [508.09463131427765, 156.79210424423218], [532.6377204656601, 255.61297684907913]]",full/triangles/V01_f0000099.svg
V02_f0000006,directional,directional,train,V02,0.2,18.429,0.9241096401267948,0.4573135260148414,0.30727508664131165,0.017905550077557564,1,0.0,0.0683509234828496,0.6124725102104932,0.7596687773989284,118.63884171036267,310.28785149570484,18406.095649123723,models_disagree,../../dataset/images/V02_f0000006.png,directional/overlays/V02_f0000006.jpg,quality/directional/entropy/V02_f0000006.jpg,quality/disagreement/V02_f0000006.jpg,,,,"[[194.00953888893127, 131.23731124401093], [515.8541464805603, 130.26575303077698], [483.1693196296692, 243.80754351615906]]",directional/triangles/V02_f0000006.svg
V02_f0000097,dino_linear,dino_linear,test,V02,3.2333333333333334,18.428,0.9260093051178148,0.4827879704936637,0.30089813470840454,0.015142177231609821,1,0.0,0.08291233283803863,0.6090920932655985,0.7570630616044686,112.54583323848802,388.54056775861056,21864.31097267402,models_disagree,../../dataset/images/V02_f0000097.png,dino_linear/overlays/V02_f0000097.jpg,quality/dino_linear/entropy/V02_f0000097.jpg,quality/disagreement/V02_f0000097.jpg,,,,"[[147.46421456336975, 174.66622865200043], [547.893648147583, 167.20975399017334], [532.0335388183594, 280.68065547943115]]",dino_linear/triangles/V02_f0000097.svg
V02_f0000015,unet_small,unet_small,train,V02,0.5,18.427,0.9193548387096774,0.32068162837393605,0.32470008730888367,0.03390216454863548,1,0.0,0.07370811424554953,0.8185763888888888,0.9002386634844869,107.28001099950998,375.4164814717375,20137.342130842666,,../../dataset/images/V02_f0000015.png,unet_small/overlays/V02_f0000015.jpg,quality/unet_small/entropy/V02_f0000015.jpg,quality/disagreement/V02_f0000015.jpg,,,,"[[183.3632254600525, 138.27581948041916], [550.0287938117981, 138.71598887443542], [542.892415523529, 243.0156376361847]]",unet_small/triangles/V02_f0000015.svg
V01_f0000096,baseline,baseline,test,V01,3.2,18.424,0.9330210179792352,0.4289195775792039,0.2763635218143463,0.023434069007635117,1,0.0,0.09830726652506919,0.6747695852534562,0.8058058746646488,126.38617558203033,411.102624700011,25978.844253784555,models_disagree,../../dataset/images/V01_f0000096.png,baseline/overlays/V01_f0000096.jpg,quality/baseline/entropy/V01_f0000096.jpg,quality/disagreement/V01_f0000096.jpg,,,,"[[156.71199923753738, 160.22781282663345], [584.6305130720139, 144.14694160223007], [562.6016412973404, 271.0196077823639]]",baseline/triangles/V01_f0000096.svg
V01_f0000018,directional,directional,train,V01,0.6,18.409,0.9227345558127115,0.5315342032423882,0.31241169571876526,0.008219997398555279,1,0.0,0.07276729050203894,0.44899685762629926,0.6197347568604554,117.87446054642596,342.34832288632293,20177.061939599484,models_disagree,../../dataset/images/V01_f0000018.png,directional/overlays/V01_f0000018.jpg,quality/directional/entropy/V01_f0000018.jpg,quality/disagreement/V01_f0000018.jpg,,,,"[[194.60737282037735, 151.4972560107708], [550.8911703824997, 144.92516219615936], [511.8629604578018, 252.63630598783493]]",directional/triangles/V01_f0000018.svg
V01_f0000042,full,TopoFiberDINO Coordinate (ours),train,V01,1.4000000000000001,18.399,0.91356783919598,0.46778336125069797,0.3406868875026703,0.014076740480959415,1,0.0,0.062413879082951665,0.4760866178532482,0.645065963060686,102.34263023759127,328.13252275467886,16790.97272260505,models_disagree,../../dataset/images/V01_f0000042.png,full/overlays/V01_f0000042.jpg,quality/full/entropy/V01_f0000042.jpg,quality/disagreement/V01_f0000042.jpg,,,,"[[161.58509355783463, 174.2682047188282], [492.5878599882126, 164.52272236347198], [509.32376873493195, 265.49032330513]]",full/triangles/V01_f0000042.svg
V02_f0000009,dino_linear,dino_linear,train,V02,0.3,18.394,0.9046653144016227,0.4874892809016293,0.3678416609764099,0.009583398699760437,1,0.0,0.05022020552515681,0.4340719786264341,0.6053698630136987,89.93042199468033,303.5994526487261,13651.413447026955,models_disagree,../../dataset/images/V02_f0000009.png,dino_linear/overlays/V02_f0000009.jpg,quality/dino_linear/entropy/V02_f0000009.jpg,quality/disagreement/V02_f0000009.jpg,,,,"[[190.468111038208, 133.73489999771118], [490.8841323852539, 135.159088909626], [482.6885175704956, 223.42472791671753]]",dino_linear/triangles/V02_f0000009.svg
V01_f0000098,baseline,baseline,test,V01,3.2666666666666666,18.38,0.9346130773845231,0.41113015424942023,0.26953914761543274,0.025796450674533844,1,0.0,0.1044030044030044,0.2679517529027167,0.4226529160739687,130.1881006792283,425.6144756345555,27704.970102224237,models_disagree,../../dataset/images/V01_f0000098.png,baseline/overlays/V01_f0000098.jpg,quality/baseline/entropy/V01_f0000098.jpg,quality/disagreement/V01_f0000098.jpg,,,,"[[163.24977108836174, 145.46902477741241], [599.0618391036987, 134.28432494401932], [583.6362843513489, 265.37396013736725]]",baseline/triangles/V01_f0000098.svg
V01_f0000080,baseline,baseline,val,V01,2.666666666666667,18.364,0.9137196815404555,0.3985042735042736,0.33835989236831665,0.02259565331041813,1,0.0,0.06665541680728991,0.29846855653307264,0.45972396486825595,95.889391328886,372.4514676664596,17857.07226704354,models_disagree,../../dataset/images/V01_f0000080.png,baseline/overlays/V01_f0000080.jpg,quality/baseline/entropy/V01_f0000080.jpg,quality/disagreement/V01_f0000080.jpg,,,,"[[173.55850687623024, 147.07481861114502], [550.3124148845673, 146.9370312988758], [554.0160105228424, 243.79384517669678]]",baseline/triangles/V01_f0000080.svg
V01_f0000058,unet_small,unet_small,train,V01,1.9333333333333333,18.351,0.916639100231558,0.42556523720029615,0.3299230933189392,0.019804242998361588,1,0.0,0.07574607329842932,0.6362605314322748,0.7777007624517279,100.29233864886962,406.76775677276754,20397.844806847716,models_disagree,../../dataset/images/V01_f0000058.png,unet_small/overlays/V01_f0000058.jpg,quality/unet_small/entropy/V01_f0000058.jpg,quality/disagreement/V01_f0000058.jpg,,,,"[[171.0576632618904, 162.15834394097328], [596.0558269023895, 160.18447279930115], [567.8476026058197, 256.57419115304947]]",unet_small/triangles/V01_f0000058.svg
V02_f0000038,directional,directional,train,V02,1.2666666666666668,18.347,0.9230106786083362,0.46460855708945775,0.31095069646835327,0.01633504405617714,1,0.0,0.0734078947368421,0.4254113092769252,0.5968962172647915,112.4315283368249,350.17832606456165,19685.542194934835,models_disagree,../../dataset/images/V02_f0000038.png,directional/overlays/V02_f0000038.jpg,quality/directional/entropy/V02_f0000038.jpg,quality/disagreement/V02_f0000038.jpg,,,,"[[176.09021186828613, 163.2192273736], [540.6014585494995, 159.54704362154007], [510.6552457809448, 267.98488211631775]]",directional/triangles/V02_f0000038.svg
V02_f0000050,dino_linear,dino_linear,train,V02,1.6666666666666667,18.338,0.9293613491844069,0.4212596852783768,0.29196473956108093,0.023136937990784645,1,0.0,0.09323215319059393,0.5902528824726286,0.7423383903003716,120.03603072751032,414.7982208666675,24895.36599283396,models_disagree,../../dataset/images/V02_f0000050.png,dino_linear/overlays/V02_f0000050.jpg,quality/dino_linear/entropy/V02_f0000050.jpg,quality/disagreement/V02_f0000050.jpg,,,,"[[182.40526378154755, 142.265967130661], [610.8275985717773, 142.07273888587952], [581.0621309280396, 258.4222240447998]]",dino_linear/triangles/V02_f0000050.svg
V01_f0000039,unet_small,unet_small,train,V01,1.3,18.337,0.9176879761510434,0.2624290511426109,0.3280273675918579,0.04036298394203186,1,0.0,0.07606193351487167,0.8685946220192795,0.9296768938365463,101.28041584430622,404.13900044106305,20465.68301178656,,../../dataset/images/V01_f0000039.png,unet_small/overlays/V01_f0000039.jpg,quality/unet_small/entropy/V01_f0000039.jpg,quality/disagreement/V01_f0000039.jpg,,,,"[[156.8310769200325, 178.4524731338024], [560.616380572319, 169.67365890741348], [564.0514520406723, 270.82349359989166]]",unet_small/triangles/V01_f0000039.svg
V02_f0000011,baseline,baseline,train,V02,0.3666666666666667,18.319,0.9143061175910497,0.3961107349732942,0.34389668703079224,0.022798506543040276,1,0.0,0.054958633286773396,0.6776045939294504,0.8078239608801956,108.07642083810994,275.45128787898017,14884.894654604015,models_disagree,../../dataset/images/V02_f0000011.png,baseline/overlays/V02_f0000011.jpg,quality/baseline/entropy/V02_f0000011.jpg,quality/disagreement/V02_f0000011.jpg,,,,"[[208.67154836654663, 138.47482138872147], [479.2870044708252, 138.96739959716797], [486.8991279602051, 244.58386719226837]]",baseline/triangles/V02_f0000011.svg
V02_f0000041,dino_linear,dino_linear,train,V02,1.3666666666666667,18.318,0.9221877156659766,0.5049311883601456,0.318031370639801,0.01096756849437952,1,0.0,0.07342478004129568,0.48454367026496564,0.6527846636919518,106.8460706488506,368.49540670027585,19686.143129037304,models_disagree,../../dataset/images/V02_f0000041.png,dino_linear/overlays/V02_f0000041.jpg,quality/dino_linear/entropy/V02_f0000041.jpg,quality/disagreement/V02_f0000041.jpg,,,,"[[155.29885232448578, 173.1824305653572], [532.643666267395, 170.22318279743195], [510.60758113861084, 274.81151473522186]]",dino_linear/triangles/V02_f0000041.svg
V01_f0000100,dino_pyramid,dino_pyramid,test,V01,3.3333333333333335,18.299,0.9223421192287281,0.5450374410249752,0.3128949999809265,0.005890790373086929,1,0.0,0.07000867662103887,0.3125198098256735,0.47621347500603717,109.90434156127361,339.8581343308848,18675.942238939388,models_disagree,../../dataset/images/V01_f0000100.png,dino_pyramid/overlays/V01_f0000100.jpg,quality/dino_pyramid/entropy/V01_f0000100.jpg,quality/disagreement/V01_f0000100.jpg,,,,"[[159.6766913831234, 161.33272647857666], [503.8828077316284, 157.38945454359055], [503.95033836364746, 268.70059221982956]]",dino_pyramid/triangles/V01_f0000100.svg
V02_f0000067,dino_linear,dino_linear,train,V02,2.2333333333333334,18.297,0.9202779301517645,0.41150561655338497,0.3183066248893738,0.022109661251306534,1,0.0,0.0687136799120465,0.7267573696145124,0.8417596848325674,107.50618903669421,341.2840731988574,18345.075044264675,models_disagree,../../dataset/images/V02_f0000067.png,dino_linear/overlays/V02_f0000067.jpg,quality/dino_linear/entropy/V02_f0000067.jpg,quality/disagreement/V02_f0000067.jpg,,,,"[[154.76318836212158, 167.5002539753914], [497.9713439941406, 161.9677356481552], [496.35034561157227, 270.0295615196228]]",dino_linear/triangles/V02_f0000067.svg
V02_f0000062,baseline,baseline,train,V02,2.066666666666667,18.29,0.9217633042096902,0.39309823915403863,0.3130597472190857,0.02470909245312214,1,0.0,0.06355547962308289,0.6242754259617074,0.7686817346166325,114.20860926366684,297.9467152892683,17014.039993932518,models_disagree,../../dataset/images/V02_f0000062.png,baseline/overlays/V02_f0000062.jpg,quality/baseline/entropy/V02_f0000062.jpg,quality/disagreement/V02_f0000062.jpg,,,,"[[156.72820329666138, 171.30473041534424], [456.21942043304443, 159.88887125253677], [450.47683238983154, 274.18111538887024]]",baseline/triangles/V02_f0000062.svg
V01_f0000053,unet_small,unet_small,train,V01,1.7666666666666668,18.289,0.9107862903225806,0.4754820936639118,0.3489755392074585,0.011936482973396778,1,0.0,0.07461942257217848,0.7831284153005464,0.8783757900785291,90.90377976123784,441.4300972497333,20063.83217018578,models_disagree,../../dataset/images/V01_f0000053.png,unet_small/overlays/V01_f0000053.jpg,quality/unet_small/entropy/V01_f0000053.jpg,quality/disagreement/V01_f0000053.jpg,,,,"[[169.7372945547104, 164.25300389528275], [621.6974875926971, 158.6187779903412], [603.4448368549347, 247.71396070718765]]",unet_small/triangles/V01_f0000053.svg
